,City,Id,Type,X,Y,Fencing,Lighting,Accessible for disabled,Parking,Status,Competitions,Year of building
0,אבו גוש,031G2308773,Fitness,210525.0,634529.0,Yes,Yes,Yes,Yes,Normal and active,Local and regional,2019
1,אבו גוש,031G3301122,Fitness,210265.0,635399.0,Yes,Yes,Yes,Yes,Normal and active,National,2008
2,אבו גוש,031B1305253,Basketball court,210232.0,635383.0,Yes,Yes,Yes,Yes,Active and in need of renovation,Not used for official competitions,1994
3,אבו גוש,031B1205740,Basketball court,210403.0,635436.0,No,No,Yes,Yes,Active and in need of renovation,Not used for official competitions,2005
4,אבו גוש,031B2305241,Combined sports pitch,210393.0,635129.0,Yes,Yes,Yes,Yes,Active and in need of renovation,Not used for official competitions,1975
5,אבו גוש,031B2205252,Combined sports pitch,210523.0,634529.0,Yes,No,Yes,Yes,Active and in need of renovation,Irrelevant,2010
6,אבו סנאן,032G2100771,Fitness,216156.0,762892.0,Yes,Yes,Yes,Yes,Inactive,Not used for official competitions,2018
7,אבו סנאן,032B2104971,Combined sports pitch,216062.0,762871.0,Yes,Yes,Yes,Yes,Active and in need of renovation,Not used for official competitions,1995
8,אבו סנאן,032B2104972,Combined sports pitch,215339.0,763104.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,2009
9,אבו סנאן,032G2100760,Fitness,216190.0,763120.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,1988
10,אבו סנאן,032G1100351,Fitness,215380.0,763090.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,2001
11,אבו סנאן,032P1102448,Swimming pool,216170.0,763260.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,1997
12,אבו סנאן,032F1104800,Football field,215320.0,763110.0,Yes,Yes,Yes,Yes,Normal and active,National,1980
13,אבו סנאן,032M1106470,Synthetic grass court,216250.0,763130.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,2019
14,אבו סנאן,032B2104962,Combined sports pitch,216960.0,762890.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,2002
15,אבן יהודה,021G3308679,Fitness,190312.0,687459.0,No,No,No,No,Inactive,Not used for official competitions,2020
16,אבן יהודה,021F2106974,Football field,189230.0,687430.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,2008
17,אבן יהודה,021B2106977,Combined sports pitch,189230.0,687430.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,2008
18,אבן יהודה,021G3100942,Fitness,189010.0,685910.0,Yes,Yes,Yes,Yes,Normal and active,National,2009
19,אבן יהודה,021G1100943,Fitness,189010.0,685910.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,2009
20,אבן יהודה,021S1106926,Sand court,189010.0,685910.0,Yes,Yes,Yes,Yes,Normal and active,National,2009
21,אבן יהודה,021T1106928,Tennis court,189010.0,685910.0,Yes,Yes,Yes,Yes,Inactive,Not used for official competitions,2009
22,אבן יהודה,021B2106929,Combined sports pitch,189010.0,685910.0,Yes,Yes,Yes,Yes,Inactive,Not used for official competitions,2009
23,אבן יהודה,021P1102275,Swimming pool,189210.0,685650.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,1970
24,אבן יהודה,021G3101950,Fitness,188750.0,685700.0,Yes,Yes,Yes,Yes,Normal and active,National,2006
