רשות מקומית,ישוב,מספר זיהוי,סוג מתקן,שם המתקן,שכונה-רובע,רחוב,מספר בית,ציר X,ציר Y,מספר המבנים,בעלי המתקן,גוף מפעיל המתקן,טלפון איש קשר,דואל איש קשר,מספר מושבים,פנוי לפעילות,גידור קיים,תאורה קיימת,נגישות לנכים,חניה לרכבים,מצב המתקן,מתקן תקני לתחרויות,שימוש לתחרויות רשמיות,שנת הקמה,משרת בית ספר
אבו גוש,,031G2308773,אולם ספורט קטן – 15x24 מ',"אולם התעמלות ביה""ס השלום",עבדאלרחמן,עבדאלרחמן - התמר,3,210525,634529,,אבו גוש,"מועצה מקומית אבו גוש + ביה""ס יסודי השלום + מתנ""ס אבו גוש",025700342,mohamad.jaber81@gmail.com,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",ליגה מקומית ואיזורית,2019,כן
אבו גוש,,031G3301122,אולם ספורט בינוני – 32x19 מ',אולם פיס אבו גוש,ליד תיכון אבו גוש,השלום,12,210265,635399,,אבו גוש,רשות מקומית + מרכז קהילתי אבו גוש,02-5700342,mohamad.jaber81@gmail.com,450,מבוקר ועד לילה,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2008,חטיבת ביניים ותיכון אבו גוש
אבו גוש,,031B1305253,מגרש כדורסל – 19X32 מ',מגרש משולב כדורגל תיכון,ליד אולם ספורט,השלום,12,210232,635383,,אבו גוש,רשות מקומית + מרכז קהילתי אבו גוש,02-5700342,mohamad.jaber81@gmail.com,100,פתוח ללא הגבלה,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1994,חטיבת ביניים ותיכון אבו גוש
אבו גוש,,031B1205740,מגרש כדורסל – 19X32 מ',מגרש קטן חטיבת ביניים,,השלום,,210403,635436,,אבו גוש,רשות מקומית,02-5346975,mohamad.jaber81@gmail.com,0,בוקר בלבד,לא,לא,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2005,חטיבת ביניים
אבו גוש,,031B2305241,מגרש ספורט משולב – 43X32 מ',מגרש משולב יסודי מרכז,מרכז,מחמוד רשיד,1,210393,635129,,אבו גוש,"רשות מקומית + מרכז קהילתי אבו גוש +ביה""ס יסודי אבו גוש מרכז",02-5342875,mohamad.jaber81@gmail.com,150,פתוח ללא הגבלה,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1975,יסודי אבו גוש מרכז
אבו גוש,,031B2205252,מגרש ספורט משולב – 43X32 מ',מגרש משולב כדורגל יסודי השלום,עבדאלרחמן,עבדאלרחמן - התמר,1,210523,634529,,אבו גוש,"מועצה מקומית אבו גוש + ביה""ס יסודי השלום + מתנ""ס אבו גוש",025700342,mohamad.jaber81@gmail.com,50,מבוקר ועד לילה,כן,לא,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,לא רלוונטי,2010,יסודי השלום
אבו סנאן,,032G2100771,אולם ספורט קטן – 15x24 מ',אולם ספורט,שכונת החיילים,,,216156,762892,,אבו סנאן,מועצה מקומית אבו סנאן,049964527,tahseen.abreek@gmail.com,,בתיאום בלבד,כן,כן,כן,כן,לא פעיל,המתקן אינו עומד במידות התקניות לתחרויות,,2018,
אבו סנאן,,032B2104971,מגרש ספורט משולב – 43X32 מ',מגרש משולב,כרם אלרגמה,,,216062,762871,,אבו סנאן,מועצה מקומית אבו סנאן,049964527,tahseen.abreek@gmail.com,150,פתוח ללא הגבלה,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1995,תיכון
אבו סנאן,,032B2104972,מגרש ספורט משולב – 43X32 מ',מגרש משולב,מערבית,,,215339,763104,,אבו סנאן,מועצה מקומית אבו סנאן,049964527,tahseen.abreek@gmail.com,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,,2009,בית ספר יסודי ב'
אבו סנאן,,032G2100760,אולם ספורט קטן – 15x24 מ',אולם ספורט,כרם אלרוגמה,,,216190,763120,,אבו סנאן,מועצה מקומית אבוסנאן,049964527,tahseen.abreek@gmail.com,350,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1988,
אבו סנאן,,032G1100351,אולם ספורט קטן – 20x10 מ',אולם התעמלות,מערבית,,,215380,763090,,אבו סנאן,מועצה מקומית אבוסנאן,049964527,tahseen.abreek@gmail.com,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2001,בית ספר יסודי ב'
אבו סנאן,,032P1102448,בריכת שחיה - 25X12.5 מ',ברכת שחייה,כרם אלרוגמה,,,216170,763260,,אבו סנאן,מועצה מקומית אבוסנאן,04-9568805,nabihshekh@yahoo.com,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1997,
אבו סנאן,,032F1104800,מגרש כדורגל – 45X90 מ',מגרש כדוררגל,מערבית,,,215320,763110,,אבו סנאן,מועצה מקומית אבוסנאן,052436358,tahseen.abreek@gmail.com,300,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1980,
